#Date/Time of Update: 2018-12-10 01:15:00 GMT,#Player ID,#LastName,#FirstName,#Jersey Num,#Position,#Team ID,#Team Abbr.,#Team City,#Team Name,#Injury
,15181,Timmins,Conor,18,D,22,COL,Colorado,Avalanche,concussion (Out)
,5342,Trocheck,Vincent,21,C,4,FLO,Florida,Panthers,fractured right ankle (Out)
,4420,Turris,Kyle,8,C,18,NSH,Nashville,Predators,upper body (Out)
,13633,Vaakanainen,Urho,58,D,11,BOS,Boston,Bruins,concussion (Out)
,13631,Valimaki,Juuso,8,D,23,CGY,Calgary,Flames,lower body (Out)
,5420,Vasilevskiy,Andrei,88,G,1,TBL,Tampa Bay,Lightning,left foot fracture (Out)
,5225,Wilson,Tom,43,RW,5,WSH,Washington,Capitals,concussion (Questionable)
,5492,Wilson,Scott,20,C,15,BUF,Buffalo,Sabres,fractured ankle (Out)
,4927,Zuccarello,Mats,36,LW,9,NYR,New York,Rangers,groin (Questionable)
,12249,Zykov,Valentin,73,LW,24,EDM,Edmonton,Oilers,visa issues (Probable)
